name,latitude,longitude
2183,-12.77221167,131.2562333
2184,-12.77223,131.256295
2185,-12.779,131.2595717
2186,-12.78943833,131.233445
2187,-12.78992167,131.229205
2188,-12.79351,131.2271933
2189,-12.80440333,131.2138433
2190,-12.82063167,131.2162933
2191,-12.834945,131.2082617
2192,-12.84505333,131.2072767
2193,-12.85740167,131.2042083
2194,-12.85742833,131.2042
2195,-12.86221333,131.2031333
2196,-12.86448667,131.2061583
2197,-12.87060833,131.2048033
2198,-12.87427667,131.2043467
2199,-12.87985167,131.2025
2200,-12.88866167,131.2064383
2201,-12.07634609,134.6017254
2202,-12.08025368,134.6068245
2203,-12.09774977,134.5985073
2204,-12.09774321,134.5984728
2205,-12.10335078,134.592918
2206,-12.10435005,134.5928042
2207,-12.10544352,134.5927464
2208,-12.11480562,134.5917574
2209,-12.1212823,134.5885406
2210,-12.11907998,134.585392
2211,-12.11897197,134.5840628
2212,-12.12271681,134.5770856
2213,-12.12579544,134.5766885
2214,-12.12575752,134.5802532
2215,-12.12934755,134.5871185
2216,-12.12960568,134.5851387
2217,-12.13067687,134.5846133
2218,-12.13597695,134.5911958
2219,-12.13534925,134.5928591
2220,-12.13547933,134.5941199
2221,-12.13839703,134.5974244
2222,-12.14058894,134.5948684
2223,-12.14156133,134.5945814
2224,-12.1417144,134.59381
2225,-12.14534354,134.5871769
2226,-12.14795531,134.5897211
2227,-12.15018912,134.592691
2228,-12.15667768,134.593344
2229,-12.15765202,134.5947894
2230,-12.15767147,134.5947845
2231,-12.15770827,134.5947758
2232,-12.16318584,134.5933967
2233,-12.16430963,134.5884367
2234,-12.16430824,134.5866719
2235,-12.16592161,134.5835855
2236,-12.16766171,134.5816581
2237,-12.17242958,134.5861629
2238,-12.17127032,134.586393
2239,-12.17184265,134.5915515
2240,-12.17194218,134.5917508
2241,-12.17376846,134.5966035
2242,-12.1748257,134.5983451
2243,-12.17620662,134.5995968
2244,-12.17622148,134.5996109
2245,-12.18087435,134.6011865
2246,-12.18095558,134.6012113
2247,-12.18249587,134.601546
2248,-12.18278351,134.6020289
2249,-12.18262223,134.6027843
2250,-12.18311607,134.6037719
2251,-12.18405083,134.6055444
2252,-12.1852414,134.6075609
2253,-12.18608251,134.6083608
2254,-12.18952973,134.6064701
2255,-12.18979435,134.6056865
2256,-12.18982908,134.6056879
2257,-12.19338583,134.6127215
2258,-12.19417612,134.6148326
2259,-12.19515761,134.6152803
2260,-12.19592453,134.6171044
2261,-12.19592689,134.6171218
2262,-12.1959298,134.617145
2263,-12.1965986,134.6190664
2264,-12.19659821,134.6191488
2265,-12.19700829,134.6201377
2266,-12.19700376,134.6201677
2267,-12.19765072,134.6224678
2268,-12.19770144,134.6241287
2269,-12.20046904,134.6270109
2270,-12.20053628,134.6284277
2271,-12.20362718,134.6282089
2272,-12.20361203,134.6281869
2273,-12.20353398,134.6280946
